AES-CBC (128-bit),,,,,
Encryption Time (ms),"Start Time (epoch, ms)","Arrival Time (epoch, ms)",Transmission Time (ms),Decryption Time (ms),Total Time (ms)
7.531,1417137051870,1417137051850,20,3.605,31.136
3.573,1417137051900,1417137051880,20,2.865,26.438
3.073,1417137051930,1417137051920,10,2.898,15.971
3.094,1417137051960,1417137051950,10,2.742,15.836
2.918,1417137051990,1417137051980,10,2.697,15.615
4.817,1417137052020,1417137052010,10,2.690,17.507
3.883,1417137052060,1417137052040,20,2.255,26.138
3.283,1417137052090,1417137052080,10,2.368,15.651
3.286,1417137052120,1417137052110,10,2.564,15.850
2.978,1417137052160,1417137052140,20,2.496,25.474
Average Encryption Time:,,,Average Trans Time:,Average Decryption Time:,Total Average Times:
3.844,,,14,2.718,20.562
,,,,,
AES-CBC (192-bit),,,,,
Encryption Time (ms),"Start Time (epoch, ms)","Arrival Time (epoch, ms)",Transmission Time (ms),Decryption Time (ms),Total Time (ms)
7.432,1417137066320,1417137066310,10,3.736,21.168
3.595,1417137066350,1417137066340,10,2.891,16.486
3.066,1417137066380,1417137066370,10,2.455,15.521
2.893,1417137066410,1417137066400,10,2.663,15.556
2.753,1417137066450,1417137066430,20,2.580,25.333
2.582,1417137066480,1417137066470,10,2.420,15.002
2.826,1417137066510,1417137066500,10,2.051,14.877
2.590,1417137066540,1417137066530,10,2.470,15.060
2.973,1417137066570,1417137066560,10,2.202,15.175
2.779,1417137066610,1417137066590,20,2.203,24.982
Average Encryption Time:,,,Average Trans Time:,Average Decryption Time:,Total Average Times:
3.349,,,12,2.567,17.916
,,,,,
AES-CBC (256-bit),,,,,
Encryption Time (ms),"Start Time (epoch, ms)","Arrival Time (epoch, ms)",Transmission Time (ms),Decryption Time (ms),Total Time (ms)
7.545,1417137075750,1417137075740,10,3.760,21.305
3.544,1417137075790,1417137075770,20,3.111,26.655
3.097,1417137075820,1417137075800,20,3.089,26.186
3.042,1417137075850,1417137075830,20,2.874,25.916
3.009,1417137075880,1417137075870,10,2.872,15.881
2.929,1417137075910,1417137075900,10,2.837,15.766
3.233,1417137075940,1417137075930,10,2.183,15.416
2.948,1417137075970,1417137075950,20,2.572,25.520
3.170,1417137076000,1417137075990,10,2.700,15.870
2.777,1417137076030,1417137076010,20,2.269,25.046
Average Encryption Time:,,,Average Trans Time:,Average Decryption Time:,Total Average Times:
3.529,,,15,2.827,21.356
